"ID","date","latitude","longitude","eunis"
1470,2012-06-02,46.29895,34.31655,"R1B"
1471,2012-06-02,46.31555,34.325617,"R1B"
1467,2012-05-20,46.31845,34.357233,"X36"
1468,2012-05-20,46.31855,34.357967,"X36"
1469,2012-05-20,46.31865,34.3587,"X36"
1485,2012-06-03,46.32425,34.359133,"X36"
1483,2012-06-03,46.325417,34.357667,"X36"
660,2010-06-25,46.425417,33.73705,"X36"
658,2010-06-25,46.4257,33.736533,"X36"
659,2010-06-25,46.4257,33.736817,"X36"
657,2010-06-25,46.425917,33.736383,"X36"
696,2010-06-25,46.4299,33.7402,"X36"
695,2010-06-25,46.4299,33.7412,"X36"
694,2010-06-25,46.430617,33.74105,"X36"
697,2010-06-25,46.431033,33.74145,"X36"
1134,2008-06-12,46.431859,33.738174,"X36"
674,2010-06-25,46.433167,33.726117,"X36"
675,2010-06-25,46.433217,33.7257,"X36"
672,2010-06-25,46.433583,33.726133,"X36"
673,2010-06-25,46.4336,33.726433,"X36"
676,2010-06-25,46.4337,33.727233,"X36"
693,2010-06-25,46.433933,33.741233,"X36"
671,2010-06-25,46.434183,33.7264,"X36"
689,2010-06-25,46.434183,33.740417,"X36"
692,2010-06-25,46.434317,33.740983,"X36"
688,2010-06-25,46.434483,33.74075,"X36"
690,2010-06-25,46.4345,33.7405,"X36"
691,2010-06-25,46.4345,33.740967,"X36"
667,2010-06-25,46.434633,33.7271,"X36"
668,2010-06-25,46.434683,33.7272,"X36"
670,2010-06-25,46.434883,33.727583,"X36"
669,2010-06-25,46.4349,33.7271,"X36"
666,2010-06-25,46.43505,33.737117,"X36"
665,2010-06-25,46.435367,33.737117,"X36"
664,2010-06-25,46.43555,33.737167,"X36"
686,2010-06-25,46.435667,33.74315,"X36"
677,2010-06-25,46.4357,33.727867,"X36"
687,2010-06-25,46.435783,33.74335,"X36"
661,2010-06-25,46.435867,33.7353,"X36"
662,2010-06-25,46.436183,33.735517,"X36"
663,2010-06-25,46.436217,33.7362,"X36"
930,2004-07-18,46.437786,33.740333,"X36"
931,2004-07-18,46.437786,33.740333,"X36"
932,2004-07-18,46.437786,33.740333,"X36"
933,2004-07-18,46.437786,33.740333,"X36"
934,2004-07-18,46.437786,33.740333,"X36"
476,2015-06-18,46.437833,33.88425,"R1B"
683,2010-06-25,46.442033,33.73985,"R1B"
684,2010-06-25,46.4421,33.73985,"X36"
681,2010-06-25,46.44285,33.739267,"R1B"
680,2010-06-25,46.443067,33.73975,"R1B"
678,2010-06-25,46.443367,33.741483,"R1B"
780,2006-07-01,46.443585,33.738874,"X36"
779,2006-07-01,46.443587,33.739214,"X36"
782,2006-07-01,46.443595,33.734952,"X36"
781,2006-07-01,46.443597,33.737763,"X36"
784,2006-07-01,46.443603,33.732752,"X36"
787,2006-07-01,46.443608,33.730021,"X36"
786,2006-07-01,46.443612,33.731063,"X36"
785,2006-07-01,46.443616,33.732038,"X36"
788,2006-07-01,46.44362,33.728966,"X36"
783,2006-07-01,46.443621,33.733568,"X36"
685,2010-06-25,46.4444,33.738767,"X36"
900,2004-07-18,46.445004,33.7202,"X36"
901,2004-07-18,46.445004,33.7202,"X36"
902,2004-07-18,46.445004,33.7202,"X36"
903,2004-07-18,46.445004,33.7202,"X36"
